ยี่ห้อ,ปีที่ออกขายครั้งแรก,ราคาขายมือสอง,กิโลเมตรที่ขับไปแล้ว,ประเภทเชื้อเพลิง,ประเภทผู้ขายรถ,ประเภทเกียร์,จำนวนเจ้าของรถในอดีต
Suzuki,2017,365000,78000,CNG,เจ้าของขายเอง,Manual,1
Chevrolet,2015,260000,35000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2014,250000,100000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2018,1650000,25000,เบนซิน,เต๊นท์รถ,Automatic,1
Suzuki,2015,585000,24000,เบนซิน,เต๊นท์รถ,Manual,1
Hyundai Venue SX Opt ดีเซล,2019,1195000,5000,ดีเซล,เต๊นท์รถ,Manual,1
Chevrolet,2013,390000,33000,ดีเซล,เจ้าของขายเอง,Manual,2
Mercedes-Benz,2014,1964999,28000,ดีเซล,เต๊นท์รถ,Automatic,1
Mercedes-Benz,2013,1425000,59000,ดีเซล,เต๊นท์รถ,Automatic,1
Suzuki,2018,975000,4500,ดีเซล,เต๊นท์รถ,Automatic,1
Audi,2011,1190000,175900,ดีเซล,เต๊นท์รถ,Automatic,1
Honda,2018,930000,14500,เบนซิน,เต๊นท์รถ,Manual,1
Tata,2018,525000,15000,เบนซิน,เจ้าของขายเอง,Manual,1
Audi,2013,1735000,50000,ดีเซล,เต๊นท์รถ,Automatic,1
Mercedes-Benz,2012,1375000,33800,ดีเซล,เต๊นท์รถ,Automatic,2
Skoda,2011,450000,130400,ดีเซล,เต๊นท์รถ,Automatic,2
Toyota,2016,900000,50000,เบนซิน,เจ้าของขายเอง,Automatic,1
Toyota ,2015,1300000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Mercedes-Benz,2019,1400000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Mercedes-Benz,2010,850000,119000,เบนซิน,เต๊นท์รถ,Automatic,1
Hyundai i10 Magna 1.1L,2014,229999,60000,เบนซิน,เจ้าของขายเอง,Manual,3
BMW,2013,1550000,75800,ดีเซล,เต๊นท์รถ,Automatic,2
Audi,2009,1250000,78000,ดีเซล,เต๊นท์รถ,Automatic,3
Hyundai Elantra CRDi S,2012,625000,40000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Scorpio 1.99 S10,2014,1050000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2014,560000,74000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2014,290000,64000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2012,275000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Scorpio LX,2009,411000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Santro Xing GLS,2009,150000,79000,เบนซิน,เจ้าของขายเอง,Manual,3
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzukii,2006,100000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2017,725000,18500,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2018,401000,10200,เบนซิน,เต๊นท์รถ,Manual,1
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2018,310000,28000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2016,665000,46000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,ดีเซล,เต๊นท์รถ,Manual,1
Suzukii,2012,160000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Jeep CL 500 MDI,1996,250000,35000,ดีเซล,เจ้าของขายเอง,Manual,2
Honda,2014,675000,90000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2013,300000,80000,เบนซิน,เต๊นท์รถ,Manual,1
Tata,2005,70000,80000,ดีเซล,เจ้าของขายเอง,Manual,3
Hyundai EON Magna Plus,2014,240000,73300,เบนซิน,เต๊นท์รถ,Manual,2
Toyota,2014,525000,92000,ดีเซล,เต๊นท์รถ,Manual,1
Suzukii,2009,151000,66764,เบนซิน,เต๊นท์รถ,Manual,2
Suzukii,2009,140000,100000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2010,280000,350000,ดีเซล,เจ้าของขายเอง,Manual,2
Toyota,2011,350000,230000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Magna Plus,2018,300000,31000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2007,100000,39000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2009,500000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Tata,2014,125000,166000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzuki,2006,130000,110000,เบนซิน,เจ้าของขายเอง,Manual,3
Ford,2017,925000,35000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2018,750000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2007,200000,54000,เบนซิน,เจ้าของขายเอง,Automatic,2
Hyundai i10 Sportz 1.2,2010,248000,63000,เบนซิน,เจ้าของขายเอง,Manual,2
Skoda,2014,450000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Getz GLS,2005,80000,120000,เบนซิน,เจ้าของขายเอง,Manual,3
Nissan,2014,650000,76000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Grand i10 CRDi Sportz,2015,450000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Elite i20 ดีเซล Era,2019,650000,25000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2016,495000,11958,เบนซิน,เต๊นท์รถ,Manual,1
Honda,2015,371000,20000,เบนซิน,เต๊นท์รถ,Manual,3
Hyundai Creta 1.6 SX Option,2017,1025000,9000,เบนซิน,เต๊นท์รถ,Manual,1
Mercedes-Benz,2017,8150000,6500,ดีเซล,เต๊นท์รถ,Automatic,1
Mahindra XUV500 W8 2WD,2015,750000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2013,600000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Santro Xing XO,2007,80000,58000,เบนซิน,เต๊นท์รถ,Manual,2
Mahindra Bolero 2011-2019 SLE,2013,325000,62200,ดีเซล,เต๊นท์รถ,Manual,1
Audi,2014,1470000,34000,ดีเซล,เต๊นท์รถ,Automatic,2
Fiat,2015,350000,53000,ดีเซล,เจ้าของขายเอง,Manual,2
Audi,2013,2800000,49000,ดีเซล,เต๊นท์รถ,Automatic,1
Mitsubishi,2017,210000,15000,เบนซิน,เต๊นท์รถ,Manual,2
Volkswagen,2013,450000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Audi,2013,1150000,53000,ดีเซล,เต๊นท์รถ,Automatic,1
Honda,2009,210000,63500,เบนซิน,เต๊นท์รถ,Automatic,1
Mercedes-Benz,2018,4500000,9800,เบนซิน,เต๊นท์รถ,Automatic,1
BMW,2017,2750000,13000,ดีเซล,เจ้าของขายเอง,Automatic,1
Volvo V40 D3 R Design,2018,1975000,21000,ดีเซล,เต๊นท์รถ,Automatic,1
Suzuki,2008,175000,29173,เบนซิน,เต๊นท์รถ,Manual,1
BMW,2012,2500000,48000,ดีเซล,เต๊นท์รถ,Automatic,1
Mahindra Bolero Power Plus SLX,2017,628000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Sonata CRDi M/T,2010,600000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Nissan,2017,399000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Xylo D4,2018,750000,87000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2017,315000,16000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Xylo E4 BS III,2012,600000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2010,100000,60000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2011,250000,110000,เบนซิน,เจ้าของขายเอง,Manual,3
Toyota,2017,350000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Creta 1.4 CRDi S,2016,780000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2014,434000,79350,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,เบนซิน,เจ้าของขายเอง,Automatic,1
Mahindra Scorpio LX BSIV,2014,555000,90000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2007,120000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2014,500000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2013,165000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2004,95000,50000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2018,550000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2007,100000,110000,ดีเซล,เจ้าของขายเอง,Manual,3
Tata,2012,100000,50000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2012,500000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2016,800000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Creta 1.6 CRDi SX,2016,840000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Honda,2016,490000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2010,125000,81000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2012,400000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Chevrolet,2015,1000000,3600,ดีเซล,เต๊นท์รถ,Manual,1
Ford,2015,530000,14272,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2017,840000,49213,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai i10 Sportz 1.1L,2015,229999,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,1998,40000,40000,เบนซิน,เจ้าของขายเอง,Manual,3
Chevrolet,2012,130000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai EON Era Plus,2015,200000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2011,120000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Santro LP zipPlus,2003,75000,57000,เบนซิน,เจ้าของขายเอง,Manual,3
Tata,2016,250000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
SuzukiI,2005,100000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai EON Era Plus,2013,280000,3240,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai i20 Magna 1.2,2015,540000,5000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 1.2 Asta,2018,700000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2015,525000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Santro LE,2002,65000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,800000,35000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Getz 1.3 GLS,2008,210000,53772,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Quanto C8,2012,195000,140000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2015,400000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Magna Plus,2012,170000,60000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2016,225000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2014,210000,90000,LPG,เจ้าของขายเอง,Manual,1
Suzuki,2020,240000,120000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2015,300000,175000,ดีเซล,เจ้าของขายเอง,Manual,1
Chevrolet,2011,99000,100000,เบนซิน,เจ้าของขายเอง,Manual,3
Honda,2014,620000,36000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2013,500000,30000,ดีเซล,เจ้าของขายเอง,Manual,1
Mercedes-Benz,2010,2550000,40000,เบนซิน,เจ้าของขายเอง,Automatic,2
Honda,2013,260000,70000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2017,550000,60000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2011,150000,155500,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i10 Asta AT,2011,350000,50000,เบนซิน,เจ้าของขายเอง,Automatic,2
Chevrolet,2016,320000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2015,400000,100000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzukii,2012,175000,80000,เบนซิน,เจ้าของขายเอง,Manual,3
Chevrolet,2011,120000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2013,320000,90000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Santro Xing XG,2006,70000,110000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2019,810000,15000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2007,95000,100000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2020,282000,40000,CNG,เจ้าของขายเอง,Manual,1
Suzuki,2004,80000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Tata,2013,72000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Magna 1.2,2016,600000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Skoda,2015,640000,23000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,380000,22155,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,650000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2009,150000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai i20 Asta,2009,280000,110000,เบนซิน,เจ้าของขายเอง,Manual,2
Tata,2018,430000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero Power Plus SLX,2019,800000,15000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2003,75000,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Volkswagen,2016,650000,70000,ดีเซล,เจ้าของขายเอง,Automatic,1
Suzuki,2017,390000,24000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2005,100000,120000,เบนซิน,เจ้าของขายเอง,Manual,2
Mercedes-Benz,2013,1500000,35000,ดีเซล,เจ้าของขายเอง,Automatic,1
Suzuki,2007,175000,78380,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2012,434999,110000,ดีเซล,เจ้าของขายเอง,Manual,2
Ford,2010,170000,90000,ดีเซล,เจ้าของขายเอง,Manual,3
Ford,2011,190000,90000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzuki,2009,250000,150000,ดีเซล,เจ้าของขายเอง,Manual,3
Mahindra Xylo E4,2009,229999,230000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzuki,2006,140000,70000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2017,600000,80362,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 1.2 Sportz,2012,280000,110000,เบนซิน,เจ้าของขายเอง,Manual,3
Chevrolet,2012,150000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Chevrolet,2015,650000,50000,ดีเซล,เจ้าของขายเอง,Automatic,1
Nissan,2014,210000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
BMW,2017,2900000,40000,ดีเซล,เจ้าของขายเอง,Automatic,1
Chevrolet,2013,425000,20000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai EON Era Plus Option,2014,265000,55000,เบนซิน,เต๊นท์รถ,Manual,1
Fiat,2018,890000,1136,เบนซิน,เต๊นท์รถ,Manual,1
Toyota,2013,365000,55000,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2014,350000,43000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2016,685000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Skoda,2018,940000,2650,ดีเซล,เต๊นท์รถ,Manual,1
Mahindra XUV500 W6 2WD,2017,1000000,40000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra XUV300 W8 Option,2019,1150000,15000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2016,450000,115962,ดีเซล,เจ้าของขายเอง,Manual,2
Nissan,2015,590000,65000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,800000,40000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 Magna 1.4 CRDi (ดีเซล),2012,385000,58000,ดีเซล,เต๊นท์รถ,Manual,1
Mercedes-Benz,2013,2000000,15000,ดีเซล,เจ้าของขายเอง,Automatic,1
Hyundai EON Era Plus,2012,235000,54000,เบนซิน,เต๊นท์รถ,Manual,1
Volkswagen,2017,640000,56000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2006,52000,120000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2009,80000,90000,LPG,เจ้าของขายเอง,Manual,2
Suzuki,2012,140000,70000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Verna i (เบนซิน),2008,120000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Renault Logan 1.5 DLS,2008,89999,213000,ดีเซล,เจ้าของขายเอง,Manual,1
Chevrolet,2012,180000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Scorpio S11 BSIV,2017,1500000,20000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 Active 1.2 SX,2017,700000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2012,285000,80000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Grand i10 Magna,2015,390000,90000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2008,125000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2008,225000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai i10 Era,2011,175000,139000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2011,1075000,160000,ดีเซล,เจ้าของขายเอง,Manual,2
Honda,2014,300000,150000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2010,700000,163000,ดีเซล,เจ้าของขายเอง,Manual,3
Tata,2009,90000,120000,ดีเซล,เต๊นท์รถ,Manual,3
Tata,2011,120000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2012,220000,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Tata,2015,300000,140000,ดีเซล,เต๊นท์รถ,Manual,1
Skoda,2010,180000,87000,ดีเซล,เต๊นท์รถ,Manual,2
Suzuki,2013,170000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Ford,2015,300000,50000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2014,1050000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2014,300000,150000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,ดีเซล,เจ้าของขายเอง,Manual,1
Chevrolet,2011,130000,80000,ดีเซล,เจ้าของขายเอง,Manual,2
Mitsubishi,2018,434999,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,200000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2017,625000,52000,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2006,110000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 CRDi Magna,2017,490000,66000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,880000,64000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Santro Xing GL Plus,2013,290000,49000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2006,115999,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Toyota,2018,360000,26500,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2002,65000,100000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2017,685000,72000,ดีเซล,เต๊นท์รถ,Manual,1
Honda,2009,300000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 1.4 Sportz,2017,680000,44000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,1000000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Tata,2002,100000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Xylo E4,2010,160000,130000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2017,450000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2014,600000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 1.4 Magna ABS,2009,180000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzukii,2007,100000,195000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzukii,2010,120000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Getz GL,2006,130000,80000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2011,160000,155000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero Power Plus SLX,2019,860000,35000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 1.2 Spotz,2018,650000,20000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2010,100000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2017,282000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Asta (o),2009,300000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Asta,2010,270000,110000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Xylo D2 BSIV,2013,450000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2013,350000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2017,350000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2013,229999,50000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2013,110000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2012,395000,49000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,ดีเซล,เจ้าของขายเอง,Automatic,2
Mahindra Bolero SLX,2011,350000,90000,ดีเซล,เจ้าของขายเอง,Manual,2
Mahindra XUV500 W11 Option AWD,2020,1400000,25000,ดีเซล,เต๊นท์รถ,Manual,1
Tata,2018,360000,4000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Marazzo M8 8Str,2018,1300000,10000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2015,800000,15000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Magna Plus,2018,229999,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2014,315000,41000,เบนซิน,เต๊นท์รถ,Manual,1
Chevrolet,2012,125000,28000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2019,700000,16000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai EON 1.0 Kappa Magna Plus,2015,160000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Ford,2017,530000,10832,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2018,624000,14681,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai i10 Era,2009,250000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero SLX,2016,585000,51000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Verna 1.4 VTVT,2015,500000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2014,350000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2014,495000,80000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,430000,200000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000,44000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2015,500000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2019,425000,19600,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2005,80000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
Chevrolet,2011,106000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2009,180000,46730,เบนซิน,เจ้าของขายเอง,Manual,1
Mitsubishi,2015,250000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
Skoda,2011,350000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2002,60000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Verna CRDi 1.6 EX,2018,900000,24000,ดีเซล,เจ้าของขายเอง,Manual,1
Ford,2017,700000,21170,ดีเซล,เต๊นท์รถ,Manual,1
